batch_01.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: be (to be), have (to have), do (to do), say (to say), get (to get), make (to make), go (to go), know (to know), take (to take), see (to see). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_02.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: come (to come), think (to think), look (to look), want (to want), give (to give), use (to use), find (to find), tell (to tell), ask (to ask), seem (to seem). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_03.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: feel (to feel), try (to try), leave (to leave), call (to call), keep (to keep), let (to let), begin (to begin), show (to show), hear (to hear), play (to play). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_04.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: run (to run), move (to move), live (to live), believe (to believe), hold (to hold), bring (to bring), happen (to happen), write (to write), provide (to provide), sit (to sit). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_05.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: stand (to stand), lose (to lose), pay (to pay), meet (to meet), include (to include), continue (to continue), set (to set), learn (to learn), change (to change), lead (to lead). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_06.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: understand (to understand), watch (to watch), follow (to follow), stop (to stop), create (to create), speak (to speak), read (to read), spend (to spend), grow (to grow), open (to open). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_07.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: walk (to walk), win (to win), offer (to offer), remember (to remember), love (to love), consider (to consider), appear (to appear), buy (to buy), wait (to wait), serve (to serve). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_08.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: die (to die), send (to send), expect (to expect), build (to build), stay (to stay), fall (to fall), cut (to cut), reach (to reach), kill (to kill), remain (to remain). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_09.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: suggest (to suggest), raise (to raise), pass (to pass), sell (to sell), decide (to decide), return (to return), explain (to explain), hope (to hope), develop (to develop), carry (to carry). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_10.corpus Generate conjugation tables for the following 10 English verbs in the present perfect tense: break (to break), receive (to receive), agree (to agree), support (to support), hit (to hit), produce (to produce), eat (to eat), cover (to cover), catch (to catch), choose (to choose). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
batch_11.corpus Generate conjugation tables for the following 2 English verbs in the present perfect tense: drive (to drive), throw (to throw). Persons: I, you, he/she/it, we, you (plural), they. Format each verb as follows (blank line between verbs, no extra text): | Verb: <infinitive> (<english gloss>) | Language: <language> | Tense: <tense name> | <pronoun/person>: <conjugated form> | ...(one line per person) |  | Use the standard persons for the language. Output only the tables, nothing else.
